weapon_name,physical_dmg,magic_dmg,fire_dmg,lightning_dmg,holy_dmg,crit_multiplier,poise_dmg,strength_scaling,dexterity_scaling,intelligence_scaling,faith_scaling,arcane_scaling,physical_def,magic_def,fire_def,lightning_def,holy_def,guard_boost,status_resistance,weight,weapon_type,affinity
Noble's Slender Sword (cold),172,138,0,0,0,110,80,E,B,C,Z,Z,40.85,33.35,27.55,27.55,27.55,30.0,13.3,3.5,StraightSwords,cold
Short Sword (cold),174,140,0,0,0,100,90,C,C,C,Z,Z,39.9,32.2,26.6,26.6,26.6,28.0,13.3,3.0,StraightSwords,cold
Warhawk's Talon (cold),172,138,0,0,0,100,84,D,B,C,Z,Z,39.9,32.2,26.6,26.6,26.6,30.0,13.3,3.0,StraightSwords,cold
Weathered Straight Sword (cold),176,140,0,0,0,100,90,D,C,C,Z,Z,40.85,33.35,27.55,27.55,27.55,27.0,13.3,3.0,StraightSwords,cold
Beastman's Cleaver (cold),246,198,0,0,0,100,164,B,Z,C,Z,Z,76.95,49.45,40.85,40.85,40.85,52.0,23.75,16.5,CurvedGreatswords,cold
Dismounter (cold),237,190,0,0,0,100,122,C,C,C,Z,Z,61.75,40.25,33.25,33.25,33.25,42.0,19.0,10.0,CurvedGreatswords,cold
Monk's Flameblade (cold),230,183,0,0,0,100,122,C,C,C,Z,Z,57.95,37.95,31.35,31.35,31.35,39.0,18.05,9.0,CurvedGreatswords,cold
Omen Cleaver (cold),244,196,0,0,0,100,128,C,C,C,Z,Z,64.6,41.4,34.2,34.2,34.2,44.0,19.95,11.5,CurvedGreatswords,cold
Broadsword (magic),224,224,0,0,0,100,94,E,E,C,Z,Z,44.65,38.75,29.45,29.45,35.65,31.0,14.25,4.0,StraightSwords,magic
Cane Sword (magic),184,184,0,0,0,100,86,E,E,C,Z,Z,38.95,33.75,25.65,25.65,31.05,27.0,12.35,2.5,StraightSwords,magic
Longsword (magic),210,210,0,0,0,100,90,E,E,B,Z,Z,42.75,37.5,28.5,28.5,34.5,30.0,14.25,3.5,StraightSwords,magic
Lordsworn's Straight Sword (magic),220,220,0,0,0,110,90,E,E,C,Z,Z,42.75,37.5,28.5,28.5,34.5,30.0,14.25,3.5,StraightSwords,magic
Noble's Slender Sword (magic),192,192,0,0,0,110,80,E,D,B,Z,Z,40.85,36.25,27.55,27.55,33.35,30.0,13.3,3.5,StraightSwords,magic
Short Sword (magic),194,194,0,0,0,100,90,E,E,B,Z,Z,39.9,35.0,26.6,26.6,32.2,28.0,13.3,3.0,StraightSwords,magic
Warhawk's Talon (magic),192,192,0,0,0,100,84,E,E,B,Z,Z,39.9,35.0,26.6,26.6,32.2,30.0,13.3,3.0,StraightSwords,magic
Weathered Straight Sword (magic),196,196,0,0,0,100,90,E,E,C,Z,Z,40.85,36.25,27.55,27.55,33.35,27.0,13.3,3.0,StraightSwords,magic
Club (quality),200,0,0,0,0,100,102,B,B,Z,Z,Z,41.0,27.0,27.0,27.0,27.0,29.7,13.0,3.5,Hammers,quality
Curved Club (quality),223,0,0,0,0,100,106,B,B,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,33.0,15.0,5.0,Hammers,quality
Hammer (quality),243,0,0,0,0,100,116,B,B,Z,Z,Z,51.0,34.0,34.0,34.0,34.0,39.6,17.0,6.5,Hammers,quality
Mace (quality),225,0,0,0,0,100,112,B,B,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,33.0,15.0,4.5,Hammers,quality
Monk's Flamemace (quality),246,0,0,0,0,100,112,B,B,Z,Z,Z,49.0,33.0,33.0,33.0,33.0,36.3,16.0,6.0,Hammers,quality
Morning Star (quality),231,0,0,0,0,100,116,B,B,Z,Z,Z,47.0,31.0,31.0,31.0,31.0,34.1,15.0,5.0,Hammers,quality
Spiked Club (quality),223,0,0,0,0,100,106,B,B,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,33.0,15.0,5.0,Hammers,quality
Stone Club (quality),239,0,0,0,0,100,130,B,B,Z,Z,Z,52.0,35.0,35.0,35.0,35.0,39.6,17.0,7.0,Hammers,quality
Warpick (quality),211,0,0,0,0,100,106,B,B,Z,Z,Z,40.0,27.0,27.0,27.0,27.0,29.7,13.0,2.5,Hammers,quality
Banished Knight's Halberd (sacred),240,0,0,0,240,100,122,E,E,Z,B,Z,52.25,40.25,33.25,33.25,43.75,42.0,14.25,8.0,Halberds,sacred
Gargoyle's Halberd (sacred),250,0,0,0,250,100,152,D,E,Z,B,Z,62.7,48.3,39.9,39.9,52.5,50.0,17.1,12.0,Halberds,sacred
Glaive (sacred),252,0,0,0,252,100,128,E,E,Z,B,Z,57.0,43.7,36.1,36.1,47.5,46.0,15.2,10.0,Halberds,sacred
Guardian's Swordspear (sacred),266,0,0,0,266,100,128,E,E,Z,C,Z,54.15,41.4,34.2,34.2,45.0,44.0,14.25,9.0,Halberds,sacred
Halberd (sacred),240,0,0,0,240,100,122,E,E,Z,B,Z,52.25,40.25,33.25,33.25,43.75,42.0,14.25,8.0,Halberds,sacred
Lucerne (sacred),232,0,0,0,232,100,122,E,E,Z,B,Z,49.4,37.95,31.35,31.35,41.25,39.0,13.3,7.0,Halberds,sacred
Nightrider Glaive (sacred),246,0,0,0,246,100,140,D,E,Z,B,Z,62.7,48.3,39.9,39.9,52.5,50.0,17.1,12.0,Halberds,sacred
Pest's Glaive (sacred),230,0,0,0,230,100,114,E,E,Z,B,Z,49.4,37.95,31.35,31.35,41.25,39.0,13.3,7.0,Halberds,sacred
Vulgar Militia Saw (sacred),240,0,0,0,240,100,128,E,E,Z,B,Z,52.25,40.25,33.25,33.25,43.75,42.0,14.25,8.0,Halberds,sacred
Vulgar Militia Shotel (sacred),232,0,0,0,232,100,128,E,D,Z,B,Z,52.25,40.25,33.25,33.25,43.75,42.0,14.25,8.0,Halberds,sacred
Caestus (occult),193,0,0,0,0,100,100,D,D,Z,Z,B,35.0,20.0,20.0,20.0,20.0,22.0,10.0,1.5,Fists,occult
Iron Ball (occult),216,0,0,0,0,100,110,D,E,Z,Z,B,38.0,22.0,22.0,22.0,22.0,24.2,11.0,2.5,Fists,occult
Katar (occult),209,0,0,0,0,110,100,E,D,Z,Z,B,36.0,21.0,21.0,21.0,21.0,23.1,10.0,2.5,Fists,occult
Spiked Caestus (occult),195,0,0,0,0,100,100,D,D,Z,Z,B,35.0,20.0,20.0,20.0,20.0,22.0,10.0,2.0,Fists,occult
Star Fist (occult),225,0,0,0,0,100,112,D,E,Z,Z,B,41.0,23.0,23.0,23.0,23.0,25.3,11.0,3.0,Fists,occult
Bolt of Gransax,240,0,0,154,0,100,88,D,C,Z,Z,Z,60.0,31.0,31.0,47.0,31.0,44.0,20.0,8.5,Spears,standard
Celebrant's Rib-Rake,267,0,0,0,0,100,68,D,C,Z,Z,Z,40.0,25.0,25.0,25.0,25.0,39.6,15.0,5.0,Spears,standard
Clayman's Harpoon,242,156,0,0,0,100,80,C,E,D,Z,Z,49.0,38.0,25.0,25.0,25.0,39.6,16.0,5.5,Spears,standard
Cleanrot Spear,249,0,0,0,161,100,80,C,C,Z,D,Z,49.0,25.0,25.0,25.0,38.0,36.3,16.0,5.5,Spears,standard
Cross-Naginata,298,0,0,0,0,100,88,D,B,Z,Z,Z,52.0,32.0,32.0,32.0,32.0,46.8,19.0,8.0,Spears,standard
Crystal Spear,269,80,0,0,0,100,80,D,B,D,Z,Z,48.0,33.0,26.0,26.0,26.0,36.3,16.0,5.5,Spears,standard
Death Ritual Spear,242,156,0,0,0,110,84,D,B,D,Z,Z,54.0,42.0,27.0,27.0,27.0,39.6,18.0,6.5,Spears,standard
Inquisitor's Girandole,249,0,161,0,0,100,88,C,C,Z,B,Z,56.0,28.0,43.0,28.0,28.0,40.7,18.0,7.5,Spears,standard
Iron Spear,279,0,0,0,0,100,80,C,D,Z,Z,Z,42.0,26.0,26.0,26.0,26.0,37.2,15.0,4.5,Spears,standard
Partisan,301,0,0,0,0,100,84,C,D,Z,Z,Z,48.0,30.0,30.0,30.0,30.0,43.2,18.0,6.5,Spears,standard
Pike,281,0,0,0,0,100,82,C,D,Z,Z,Z,53.0,33.0,33.0,33.0,33.0,46.8,19.0,7.5,Spears,standard
Rotten Crystal Spear,254,75,0,0,0,100,80,D,B,D,Z,Z,48.0,33.0,26.0,26.0,26.0,36.3,16.0,5.5,Spears,standard
Short Spear,274,0,0,0,0,100,80,D,C,Z,Z,Z,40.0,25.0,25.0,25.0,25.0,36.0,15.0,4.0,Spears,standard
Spear,279,0,0,0,0,100,80,D,C,Z,Z,Z,42.0,26.0,26.0,26.0,26.0,37.2,15.0,4.5,Spears,standard
Spiked Spear,294,0,0,0,0,100,80,D,D,Z,Z,Z,46.0,28.0,28.0,28.0,28.0,40.8,17.0,6.0,Spears,standard
Torchpole,254,0,75,0,0,100,72,C,C,Z,Z,Z,48.0,26.0,33.0,26.0,26.0,40.8,16.0,6.0,Spears,standard
Battle Hammer (poison),273,0,0,0,0,100,194,A,E,Z,Z,D,64.6,34.2,34.2,34.2,34.2,44.0,21.0,10.0,GreatHammers,poison
Brick Hammer (poison),253,0,0,0,0,100,218,A,Z,Z,Z,D,70.3,38.0,38.0,38.0,38.0,48.0,23.0,12.5,GreatHammers,poison
Celebrant's Skull (poison),285,0,0,0,0,100,182,C,C,Z,Z,D,59.85,32.3,32.3,32.3,32.3,40.0,19.0,8.5,GreatHammers,poison
Curved Great Club (poison),301,0,0,0,0,100,194,C,C,Z,Z,D,64.6,34.2,34.2,34.2,34.2,44.0,21.0,10.0,GreatHammers,poison
Great Mace (poison),277,0,0,0,0,100,200,A,Z,Z,Z,D,67.45,36.1,36.1,36.1,36.1,46.0,22.0,11.5,GreatHammers,poison
Great Stars (poison),279,0,0,0,0,100,182,B,C,Z,Z,D,64.6,34.2,34.2,34.2,34.2,44.0,21.0,10.0,GreatHammers,poison
Greathorn Hammer (poison),277,0,0,0,0,100,172,B,C,Z,Z,D,61.75,33.25,33.25,33.25,33.25,42.0,20.0,10.0,GreatHammers,poison
Large Club (poison),273,0,0,0,0,100,154,B,Z,Z,Z,D,57.0,30.4,30.4,30.4,30.4,38.0,18.0,8.5,GreatHammers,poison
Pickaxe (poison),298,0,0,0,0,100,190,B,D,Z,Z,D,64.6,34.2,34.2,34.2,34.2,44.0,21.0,10.0,GreatHammers,poison
Rotten Battle Hammer (poison),262,0,0,0,0,100,194,A,D,Z,Z,D,64.6,34.2,34.2,34.2,34.2,44.0,21.0,10.0,GreatHammers,poison
Banished Knight's Halberd (occult),270,0,0,0,0,100,122,E,D,Z,Z,A,55.0,35.0,35.0,35.0,35.0,46.2,15.0,8.0,Halberds,occult
Gargoyle's Halberd (occult),281,0,0,0,0,100,152,D,E,Z,Z,B,66.0,42.0,42.0,42.0,42.0,55.0,18.0,12.0,Halberds,occult
Glaive (occult),283,0,0,0,0,100,128,D,D,Z,Z,B,60.0,38.0,38.0,38.0,38.0,50.6,16.0,10.0,Halberds,occult
Guardian's Swordspear (occult),299,0,0,0,0,100,128,E,D,Z,Z,B,57.0,36.0,36.0,36.0,36.0,48.4,15.0,9.0,Halberds,occult
Halberd (occult),270,0,0,0,0,100,122,D,E,Z,Z,A,55.0,35.0,35.0,35.0,35.0,46.2,15.0,8.0,Halberds,occult
Lucerne (occult),261,0,0,0,0,100,122,E,D,Z,Z,B,52.0,33.0,33.0,33.0,33.0,42.9,14.0,7.0,Halberds,occult
Nightrider Glaive (occult),276,0,0,0,0,100,140,D,E,Z,Z,B,66.0,42.0,42.0,42.0,42.0,55.0,18.0,12.0,Halberds,occult
Pest's Glaive (occult),258,0,0,0,0,100,114,E,D,Z,Z,A,52.0,33.0,33.0,33.0,33.0,42.9,14.0,7.0,Halberds,occult
Vulgar Militia Saw (occult),270,0,0,0,0,100,128,E,D,Z,Z,B,55.0,35.0,35.0,35.0,35.0,46.2,15.0,8.0,Halberds,occult
Vulgar Militia Shotel (occult),261,0,0,0,0,100,128,E,D,Z,Z,B,55.0,35.0,35.0,35.0,35.0,46.2,15.0,8.0,Halberds,occult
Banished Knight's Halberd (cold),216,172,0,0,0,100,122,C,C,B,Z,Z,52.25,40.25,33.25,33.25,33.25,42.0,14.25,8.0,Halberds,cold
Gargoyle's Halberd (cold),225,180,0,0,0,100,152,B,E,C,Z,Z,62.7,48.3,39.9,39.9,39.9,50.0,17.1,12.0,Halberds,cold
Glaive (cold),226,181,0,0,0,100,128,C,C,C,Z,Z,57.0,43.7,36.1,36.1,36.1,46.0,15.2,10.0,Halberds,cold
Guardian's Swordspear (cold),239,190,0,0,0,100,128,E,B,D,Z,Z,54.15,41.4,34.2,34.2,34.2,44.0,14.25,9.0,Halberds,cold
Halberd (cold),216,172,0,0,0,100,122,B,C,C,Z,Z,52.25,40.25,33.25,33.25,33.25,42.0,14.25,8.0,Halberds,cold
Lucerne (cold),208,167,0,0,0,100,122,D,B,C,Z,Z,49.4,37.95,31.35,31.35,31.35,39.0,13.3,7.0,Halberds,cold
Nightrider Glaive (cold),221,176,0,0,0,100,140,B,E,C,Z,Z,62.7,48.3,39.9,39.9,39.9,50.0,17.1,12.0,Halberds,cold
Pest's Glaive (cold),207,165,0,0,0,100,114,C,B,C,Z,Z,49.4,37.95,31.35,31.35,31.35,39.0,13.3,7.0,Halberds,cold
Vulgar Militia Saw (cold),216,172,0,0,0,100,128,D,B,C,Z,Z,52.25,40.25,33.25,33.25,33.25,42.0,14.25,8.0,Halberds,cold
Vulgar Militia Shotel (cold),208,167,0,0,0,100,128,E,B,C,Z,Z,52.25,40.25,33.25,33.25,33.25,42.0,14.25,8.0,Halberds,cold
Greatsword (keen),373,0,0,0,0,100,156,D,B,Z,Z,Z,84.0,50.0,50.0,50.0,50.0,61.6,28.0,23.0,ColossalSwords,keen
Troll's Golden Sword (keen),352,0,0,0,0,100,152,E,B,Z,Z,Z,76.0,46.0,46.0,46.0,46.0,56.1,25.0,19.0,ColossalSwords,keen
Watchdog's Greatsword (keen),321,0,0,0,0,100,164,D,A,Z,Z,Z,82.0,49.0,49.0,49.0,49.0,60.5,27.0,22.0,ColossalSwords,keen
Zweihander (keen),319,0,0,0,0,100,126,E,A,Z,Z,Z,67.0,40.0,40.0,40.0,40.0,49.5,22.0,15.5,ColossalSwords,keen
Beastman's Cleaver (flame),274,0,274,0,0,100,164,D,Z,Z,C,Z,76.95,40.85,53.75,49.45,40.85,52.0,23.75,16.5,CurvedGreatswords,flame
Dismounter (flame),264,0,264,0,0,100,122,E,E,Z,B,Z,61.75,33.25,43.75,40.25,33.25,42.0,19.0,10.0,CurvedGreatswords,flame
Monk's Flameblade (flame),256,0,256,0,0,100,122,E,E,Z,B,Z,57.95,31.35,41.25,37.95,31.35,39.0,18.05,9.0,CurvedGreatswords,flame
Omen Cleaver (flame),272,0,272,0,0,100,128,E,E,Z,B,Z,64.6,34.2,45.0,41.4,34.2,44.0,19.95,11.5,CurvedGreatswords,flame
Lance (quality),241,0,0,0,0,100,122,B,B,Z,Z,Z,57.0,36.0,36.0,36.0,36.0,48.4,21.0,9.0,GreatSpears,quality
Nagakiba (quality),225,0,0,0,0,100,90,B,B,Z,Z,Z,49.0,33.0,33.0,33.0,33.0,36.3,16.0,7.0,Katanas,quality
Uchigatana (quality),225,0,0,0,0,100,90,B,B,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,33.0,15.0,5.5,Katanas,quality
Beastman's Cleaver (lightning),238,0,0,238,0,100,164,E,C,Z,Z,Z,76.95,40.85,49.45,53.75,40.85,52.0,23.75,16.5,CurvedGreatswords,lightning
Dismounter (lightning),229,0,0,229,0,100,122,E,C,Z,Z,Z,61.75,33.25,40.25,43.75,33.25,42.0,19.0,10.0,CurvedGreatswords,lightning
Monk's Flameblade (lightning),222,0,0,222,0,100,122,E,C,Z,Z,Z,57.95,31.35,37.95,41.25,31.35,39.0,18.05,9.0,CurvedGreatswords,lightning
Omen Cleaver (lightning),236,0,0,236,0,100,128,E,C,Z,Z,Z,64.6,34.2,41.4,45.0,34.2,44.0,19.95,11.5,CurvedGreatswords,lightning
Nagakiba (blood),236,0,0,0,0,100,90,D,B,Z,Z,D,46.55,31.35,31.35,31.35,31.35,33.0,15.2,7.0,Katanas,blood
Uchigatana (blood),236,0,0,0,0,100,90,C,B,Z,Z,D,42.75,28.5,28.5,28.5,28.5,30.0,14.25,5.5,Katanas,blood
Greatsword (cold),286,214,0,0,0,100,156,B,D,D,Z,Z,79.8,57.5,47.5,47.5,47.5,56.0,26.6,23.0,ColossalSwords,cold
Troll's Golden Sword (cold),270,203,0,0,0,100,152,C,D,C,Z,Z,72.2,52.9,43.7,43.7,43.7,51.0,23.75,19.0,ColossalSwords,cold
Watchdog's Greatsword (cold),246,185,0,0,0,100,164,A,E,C,Z,Z,77.9,56.35,46.55,46.55,46.55,55.0,25.65,22.0,ColossalSwords,cold
Zweihander (cold),244,183,0,0,0,100,126,C,C,C,Z,Z,63.65,46.0,38.0,38.0,38.0,45.0,20.9,15.5,ColossalSwords,cold
Nagakiba (magic),220,220,0,0,0,100,90,E,E,B,Z,Z,46.55,41.25,31.35,31.35,37.95,33.0,15.2,7.0,Katanas,magic
Uchigatana (magic),220,220,0,0,0,100,90,E,E,B,Z,Z,42.75,37.5,28.5,28.5,34.5,30.0,14.25,5.5,Katanas,magic
Nagakiba (occult),247,0,0,0,0,100,90,E,D,Z,Z,B,49.0,33.0,33.0,33.0,33.0,36.3,16.0,7.0,Katanas,occult
Uchigatana (occult),247,0,0,0,0,100,90,E,D,Z,Z,B,45.0,30.0,30.0,30.0,30.0,33.0,15.0,5.5,Katanas,occult
Godskin Stitcher (poison),260,0,0,0,0,100,94,C,C,Z,Z,D,52.25,36.1,36.1,36.1,36.1,33.0,16.0,7.0,HeavyThrustingSwords,poison
Great epee (poison),255,0,0,0,0,124,94,C,C,Z,Z,D,49.4,34.2,34.2,34.2,34.2,31.0,15.0,6.5,HeavyThrustingSwords,poison
Grave Scythe (lightning),240,0,0,240,0,100,120,E,D,Z,Z,Z,46.55,31.35,37.95,41.25,31.35,33.0,15.2,9.5,Reapers,lightning
Scythe (lightning),208,0,0,208,0,100,110,E,C,Z,Z,Z,42.75,28.5,34.5,37.5,28.5,30.0,14.25,7.5,Reapers,lightning
Nagakiba (sacred),220,0,0,0,220,100,90,E,E,Z,B,Z,46.55,37.95,31.35,31.35,41.25,33.0,15.2,7.0,Katanas,sacred
Uchigatana (sacred),220,0,0,0,220,100,90,E,E,Z,B,Z,42.75,34.5,28.5,28.5,37.5,30.0,14.25,5.5,Katanas,sacred
Caestus (sacred),172,0,0,0,172,100,100,D,E,Z,B,Z,33.25,23.0,19.0,19.0,25.0,20.0,9.5,1.5,Fists,sacred
Iron Ball (sacred),192,0,0,0,192,100,110,D,E,Z,C,Z,36.1,25.3,20.9,20.9,27.5,22.0,10.45,2.5,Fists,sacred
Katar (sacred),186,0,0,0,186,110,100,E,E,Z,C,Z,34.2,24.15,19.95,19.95,26.25,21.0,9.5,2.5,Fists,sacred
Spiked Caestus (sacred),174,0,0,0,174,100,100,D,E,Z,B,Z,33.25,23.0,19.0,19.0,25.0,20.0,9.5,2.0,Fists,sacred
Star Fist (sacred),200,0,0,0,200,100,112,D,E,Z,C,Z,38.95,26.45,21.85,21.85,28.75,23.0,10.45,3.0,Fists,sacred
Broadsword,286,0,0,0,0,100,94,C,D,Z,Z,Z,47.0,31.0,31.0,31.0,31.0,37.2,15.0,4.0,StraightSwords,standard
Cane Sword,235,0,0,0,0,100,86,D,C,Z,Z,Z,41.0,27.0,27.0,27.0,27.0,32.4,13.0,2.5,StraightSwords,standard
Carian Knight's Sword,215,215,0,0,0,100,90,C,D,D,Z,Z,36.0,52.0,26.0,26.0,26.0,34.1,15.0,4.0,StraightSwords,standard
Coded Sword,0,0,0,0,208,100,76,Z,Z,Z,A,Z,13.0,22.0,22.0,22.0,58.0,29.7,13.0,2.5,StraightSwords,standard
Crystal Sword,259,166,0,0,0,100,98,C,D,D,Z,Z,44.0,44.0,30.0,30.0,30.0,36.3,16.0,4.5,StraightSwords,standard
Golden Epitaph,208,0,0,0,208,100,90,D,D,Z,C,Z,25.0,15.0,15.0,15.0,40.0,33.0,15.0,3.5,StraightSwords,standard
Lazuli Glintstone Sword,193,230,0,0,0,100,94,C,D,D,Z,Z,30.0,55.0,25.0,25.0,25.0,33.0,15.0,3.5,StraightSwords,standard
Longsword,269,0,0,0,0,100,90,C,D,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,36.0,15.0,3.5,StraightSwords,standard
Lordsworn's Straight Sword,281,0,0,0,0,110,90,D,D,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,36.0,15.0,3.5,StraightSwords,standard
Miquellan Knight's Sword,257,0,0,0,166,100,90,D,D,Z,D,Z,40.0,28.0,28.0,28.0,40.0,33.0,15.0,3.5,StraightSwords,standard
Noble's Slender Sword,247,0,0,0,0,110,80,E,B,Z,Z,Z,43.0,29.0,29.0,29.0,29.0,36.0,14.0,3.5,StraightSwords,standard
Ornamental Straight Sword,247,0,0,0,0,110,84,D,B,Z,Z,Z,42.0,28.0,28.0,28.0,28.0,30.8,14.0,3.0,StraightSwords,standard
Regalia of Eochaid,218,139,0,0,0,100,108,D,C,Z,Z,C,48.0,40.0,31.0,31.0,31.0,36.3,17.0,5.5,StraightSwords,standard
Rotten Crystal Sword,249,161,0,0,0,100,98,C,D,D,Z,Z,48.0,38.0,31.0,31.0,31.0,36.3,16.0,4.5,StraightSwords,standard
Short Sword,249,0,0,0,0,100,90,D,C,Z,Z,Z,42.0,28.0,28.0,28.0,28.0,33.6,14.0,3.0,StraightSwords,standard
Sword of Night and Flame,213,137,137,0,0,100,94,D,D,B,B,Z,36.0,42.0,42.0,26.0,26.0,34.1,15.0,4.0,StraightSwords,standard
Sword of St. Trina,262,78,0,0,0,100,90,D,C,D,Z,Z,39.0,33.0,27.0,27.0,27.0,30.8,14.0,3.0,StraightSwords,standard
Warhawk's Talon,247,0,0,0,0,100,84,D,B,Z,Z,Z,42.0,28.0,28.0,28.0,28.0,36.0,14.0,3.0,StraightSwords,standard
Weathered Straight Sword,252,0,0,0,0,100,90,D,C,Z,Z,Z,43.0,29.0,29.0,29.0,29.0,32.4,14.0,3.0,StraightSwords,standard
Banished Knight's Halberd (quality),246,0,0,0,0,100,122,B,B,Z,Z,Z,55.0,35.0,35.0,35.0,35.0,46.2,15.0,8.0,Halberds,quality
Gargoyle's Halberd (quality),256,0,0,0,0,100,152,B,B,Z,Z,Z,66.0,42.0,42.0,42.0,42.0,55.0,18.0,12.0,Halberds,quality
Glaive (quality),258,0,0,0,0,100,128,B,B,Z,Z,Z,60.0,38.0,38.0,38.0,38.0,50.6,16.0,10.0,Halberds,quality
Guardian's Swordspear (quality),272,0,0,0,0,100,128,B,B,Z,Z,Z,57.0,36.0,36.0,36.0,36.0,48.4,15.0,9.0,Halberds,quality
Halberd (quality),246,0,0,0,0,100,122,B,B,Z,Z,Z,55.0,35.0,35.0,35.0,35.0,46.2,15.0,8.0,Halberds,quality
Lucerne (quality),237,0,0,0,0,100,122,B,B,Z,Z,Z,52.0,33.0,33.0,33.0,33.0,42.9,14.0,7.0,Halberds,quality
Nightrider Glaive (quality),252,0,0,0,0,100,140,B,B,Z,Z,Z,66.0,42.0,42.0,42.0,42.0,55.0,18.0,12.0,Halberds,quality
Pest's Glaive (quality),235,0,0,0,0,100,114,B,B,Z,Z,Z,52.0,33.0,33.0,33.0,33.0,42.9,14.0,7.0,Halberds,quality
Vulgar Militia Saw (quality),246,0,0,0,0,100,128,B,B,Z,Z,Z,55.0,35.0,35.0,35.0,35.0,46.2,15.0,8.0,Halberds,quality
Vulgar Militia Shotel (quality),237,0,0,0,0,100,128,B,B,Z,Z,Z,55.0,35.0,35.0,35.0,35.0,46.2,15.0,8.0,Halberds,quality
Club (occult),220,0,0,0,0,100,102,B,Z,Z,Z,B,41.0,27.0,27.0,27.0,27.0,29.7,13.0,3.5,Hammers,occult
Curved Club (occult),245,0,0,0,0,100,106,D,E,Z,Z,B,45.0,30.0,30.0,30.0,30.0,33.0,15.0,5.0,Hammers,occult
Hammer (occult),267,0,0,0,0,100,116,D,E,Z,Z,B,51.0,34.0,34.0,34.0,34.0,39.6,17.0,6.5,Hammers,occult
Mace (occult),247,0,0,0,0,100,112,D,E,Z,Z,B,45.0,30.0,30.0,30.0,30.0,33.0,15.0,4.5,Hammers,occult
Monk's Flamemace (occult),270,0,0,0,0,100,112,E,D,Z,Z,B,49.0,33.0,33.0,33.0,33.0,36.3,16.0,6.0,Hammers,occult
